Shell,None,57764,NULL,,
Perl,Perl is a high-level general-purpose interpreted dynamic programming language. Though Perl is not officially an acronym there are various backronyms in use such as: Practical Extraction and Reporting Language. Perl was originally developed by Larry Wall in 1987 as a general-purpose Unix scripting language to make report processing easier. Since then it has undergone many changes and revisions. The latest major stable revision is 5.16 released in May 2012.,29981,ECMAScript|Falcon|JavaScript|LPC|PHP|Perl 6|Python|Qore|Ruby|Windows PowerShell,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Programming-republic-of-perl.png/200px-Programming-republic-of-perl.png,http://upload.wikimedia.org/wikipedia/commons/e/e0/Programming-republic-of-perl.png
CoffeeScript,CoffeeScript is a programming language that transcompiles to JavaScript. The language adds syntactic sugar inspired by Ruby Python and Haskell to enhance JavaScript's brevity and readability adding sophisticated features like list comprehension and pattern matching. CoffeeScript compiles predictably to JavaScript and programs can be written with less code typically 1/3 fewer lines with no effect on runtime performance.,24119,NULL,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/CoffeeScript-logo.png/200px-CoffeeScript-logo.png,http://upload.wikimedia.org/wikipedia/commons/1/1c/CoffeeScript-logo.png
Go,Go is a compiled garbage-collected concurrent system programming language. It was first designed and developed at Google Inc. beginning in September 2007 by Robert Griesemer Rob Pike and Ken Thompson. The language was officially announced in November 2009 and is now used in Google's production systems. Go's gc compiler targets the Linux Mac OS X FreeBSD OpenBSD Plan 9 and Microsoft Windows operating systems and the i386 amd64 and ARM processor architectures.,15601,NULL,http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Golang.png/200px-Golang.png,http://upload.wikimedia.org/wikipedia/commons/2/23/Golang.png
Scala,Scala is a multi-paradigm programming language built on top of the Java virtual machine (JVM) and maintaining strong interoperability with Java while at the same time integrating functional programming along with Java's object-oriented programming model cleaning up what are often considered to have been poor design decisions in Java and adding a number of other features designed to allow cleaner more concise and more expressive code to be written.,15276,Ceylon|Fantom|Kotlin_(programming_language),http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Scala_logo.png/200px-Scala_logo.png,http://upload.wikimedia.org/wikipedia/commons/8/85/Scala_logo.png
VimL,None,13569,NULL,,
Clojure,Clojure is a dialect of the Lisp programming language created by Rich Hickey. It is a functional general-purpose language. Its focus on programming with immutable values and explicit progression-of-time constructs are intended to facilitate the development of more robust programs particularly multithreaded ones. Clojure runs on the Java Virtual Machine Common Language Runtime and JavaScript engines. Like other Lisps Clojure treats code as data and has a sophisticated macro system.,9360,NULL,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Clojure_Programming_Language_Logo_Icon_SVG.svg/200px-Clojure_Programming_Language_Logo_Icon_SVG.svg.png,http://upload.wikimedia.org/wikipedia/commons/a/a3/Clojure_Programming_Language_Logo_Icon_SVG.svg
Haskell,Haskell is a standardized general-purpose purely functional programming language with non-strict semantics and strong static typing. #invoke:Footnotessfn It is named after logician Haskell Curry. #invoke:Footnotessfn In Haskell a function is a first-class citizen of the programming language. As a functional programming language the primary control construct is the function.,9124,Ωmega|Agda|Bluespec Inc.|C++11|C Sharp|Cayenne|Clean|Clojure|CoffeeScript|Concepts (C++)|Curry|Elm|Epigram|Escher|F Sharp|Generics in Java|Isabelle (proof assistant)|Java|Kaya|Language Integrated Query|Mercury|Perl 6|Python|Qi|Quark Framework|Scala|Timber|Visual Basic .NET,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Haskell-Logo.svg/200px-Haskell-Logo.svg.png,http://upload.wikimedia.org/wikipedia/commons/1/1c/Haskell-Logo.svg
Lua,Lua is a lightweight multi-paradigm programming language designed as a scripting language with extensible semantics as a primary goal. Lua is cross-platform since it is written in ISO C. Lua has a relatively simple C API compared to other scripting languages.,8317,Falcon|GameMonkey Script|Io|MiniD|Squirrel,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Lua-logo-nolabel.svg/200px-Lua-logo-nolabel.svg.png,http://upload.wikimedia.org/wikipedia/commons/6/6a/Lua-logo-nolabel.svg
Puppet,None,7489,NULL,,
